index,from,to,R,X,B,rate_A,length_km,type
1,1,2,0.001661672,0.002392807,0.0029349258993125,17.71887976,0.6433993984,TXSE 3x1x240 Al
2,2,3,0.001032562,0.00148689,0.0018237612214961,17.71887976,0.3998080064,TXSE 3x1x240 Al
3,3,4,0.001901424,0.001673254,0.0031344949477114,15.24204711,0.7362313728000001,TXSE 1x3x240 Al
4,4,5,0.000495963,0.000436448,0.0008175943491571,15.24204711,0.1920368736,TXSE 1x3x240 Al
5,5,7,0.00369231,0.002317895,5.712469587214532e-05,10.9361688,0.3473426557015774,FeAl 35
6,7,9,0.002076683,0.001303664,3.212890705218531e-05,10.9361688,0.1953575372247506,FeAl 35
7,9,12,0.006355423,0.003989698,9.832641517473816e-05,10.9361688,0.5978667833759588,FeAl 35
8,12,26,0.005145026,0.003229856,7.960004590738055e-05,10.9361688,0.4840024251738515,FeAl 35
9,26,33,0.004864072,0.003053484,7.525333292714253e-05,10.9361688,0.4575725456431564,FeAl 35
10,33,37,0.003501872,0.002198345,5.417837965479097e-05,10.9361688,0.3294277892178593,FeAl 35
11,37,40,0.007340441,0.004608056,0.0001135658868546,10.9361688,0.6905293084710499,FeAl 35
12,40,42,0.008787848,0.005516684,0.0001359590999592,10.9361688,0.8266896501707048,FeAl 35
13,42,44,0.003728283,0.002340478,5.7681243584717865e-05,10.9361688,0.3507267045364675,FeAl 35
14,44,45,0.0006449,0.000404845,9.977416947099925e-06,10.9361688,0.0606669750540846,FeAl 35
15,45,46,0.005135852,0.003224097,7.945811254860758e-05,10.9361688,0.4831394094673139,FeAl 35
16,46,47,0.008947076,0.005616642,0.0001384225580855,10.9361688,0.8416685323290423,FeAl 35
17,47,48,0.000915966,0.00057501,1.4171150087404758e-05,10.9361688,0.0861666715341753,FeAl 35
18,48,67,0.003331125,0.002091157,5.1536708060022055e-05,10.9361688,0.3133652927229612,FeAl 35
19,67,68,0.004408058,0.002767215,6.819822079857247e-05,10.9361688,0.4146744374677597,FeAl 35
20,68,69,0.005758556,0.003615008,8.909212936148851e-05,10.9361688,0.5417183643968824,FeAl 35
21,69,70,0.002972676,0.001866136,4.5991049621084206e-05,10.9361688,0.2796453104913569,FeAl 35
22,70,71,0.001954428,0.001226917,3.0237467900583976e-05,10.9361688,0.1838567758117607,FeAl 35
23,71,72,0.003215362,0.002018485,4.9745708342163285e-05,10.9361688,0.3024752461526619,FeAl 35
24,72,73,4.28e-05,2.68e-05,1.968631292776472e-05,11.24100974,0.0064735001416078,TXSP 3x1x95 Al
25,73,74,6.36e-05,3.98e-05,2.9253493042192427e-05,11.24100974,0.0096195002104265,TXSP 3x1x95 Al
26,74,75,0.003553641,0.001332615,0.0016345347840872,9.14522826,0.5374882130075547,TXSE 1x3x95 Al
27,75,76,1.16e-06,1.16e-06,0.0,38.06701265,0.0005614399887712,fictitious line
28,76,77,3.87e-07,3.87e-07,0.0,38.06701265,0.0001873079962538,fictitious line
29,77,78,4.92e-07,4.92e-07,0.0,38.06701265,0.0002381279952374,fictitious line
30,78,79,0.005966736,0.002237526,0.0027444633657326,9.14522826,0.902468839741506,TXSE 1x3x95 Al
31,79,80,2.88e-05,1.8e-05,1.3246864773822983e-05,11.24100974,0.0043560000952875,TXSP 3x1x95 Al
32,80,81,3.78e-05,2.36e-05,1.7386510015642667e-05,11.24100974,0.0057172501250648,TXSP 3x1x95 Al
33,81,82,0.000747474,0.000467172,0.0003438085763871,11.24100974,0.1130554449730878,TXSP 3x1x95 Al
34,82,83,0.004589931,0.002881388,7.101202565579051e-05,10.9361688,0.4317835780384087,FeAl 35
35,83,85,0.003602333,0.002261411,5.573263811954924e-05,10.9361688,0.338878347414337,FeAl 35
36,85,86,0.003529099,0.002215437,5.459961570878181e-05,10.9361688,0.3319890851238875,FeAl 35
37,86,92,4.36e-07,4.36e-07,0.0,38.06701265,0.0002110239957795,fictitious line
38,92,93,4.2e-07,4.2e-07,0.0,38.06701265,0.0002032799959344,fictitious line
39,93,94,0.00212315,0.001958245,0.0017445438216035,14.09889357,0.4988371844660194,TXSE 3x1x150 Al
40,94,95,0.000327931,0.000122974,0.000150835333755,9.14522826,0.0495995648349904,TXSE 1x3x95 Al
41,95,96,0.003594039,0.00078497,0.0006602149663509,6.477870019999999,0.2713751870938066,TXSE 1x3x50 Al
