index,x,y,type,Vmax,Vmin
1,1,6,3,1.05,0.95
2,2,6,1,1.05,0.95
3,3,6,1,1.05,0.95
4,4,6,1,1.05,0.95
5,5,6,1,1.05,0.95
6,4,9,1,1.05,0.95
7,6,6,1,1.05,0.95
8,5,8,1,1.05,0.95
9,7,6,1,1.05,0.95
10,6,5,1,1.05,0.95
11,6,9,1,1.05,0.95
12,8,6,1,1.05,0.95
13,7,8,1,1.05,0.95
14,7,10,1,1.05,0.95
15,7,4,1,1.05,0.95
16,8,11,1,1.05,0.95
17,9,10,1,1.05,0.95
18,10,11,1,1.05,0.95
19,11,11,1,1.05,0.95
20,11,10,1,1.05,0.95
21,12,11,1,1.05,0.95
22,13,11,1,1.05,0.95
23,14,11,1,1.05,0.95
24,15,11,1,1.05,0.95
25,16,11,1,1.05,0.95
26,9,6,1,1.05,0.95
27,9,8,1,1.05,0.95
28,10,8,1,1.05,0.95
29,11,8,1,1.05,0.95
30,12,8,1,1.05,0.95
31,13,8,1,1.05,0.95
32,14,8,1,1.05,0.95
33,12,6,1,1.05,0.95
34,12,4,1,1.05,0.95
35,11,4,1,1.05,0.95
36,10,4,1,1.05,0.95
37,13,6,1,1.05,0.95
38,13,5,1,1.05,0.95
39,13,4,1,1.05,0.95
40,14,6,1,1.05,0.95
41,14,4,1,1.05,0.95
42,15,6,1,1.05,0.95
43,15,8,1,1.05,0.95
44,17,6,1,1.05,0.95
45,20,6,1,1.05,0.95
46,21,6,1,1.05,0.95
47,22,6,1,1.05,0.95
48,23,6,1,1.05,0.95
49,22,8,1,1.05,0.95
50,21,8,1,1.05,0.95
51,20,8,1,1.05,0.95
52,22,9,1,1.05,0.95
53,22,10,1,1.05,0.95
54,23,10,1,1.05,0.95
55,24,10,1,1.05,0.95
56,25,10,1,1.05,0.95
57,26,10,1,1.05,0.95
58,27,10,1,1.05,0.95
59,28,10,1,1.05,0.95
60,29,10,1,1.05,0.95
61,30,10,1,1.05,0.95
62,31,10,1,1.05,0.95
63,23,8,1,1.05,0.95
64,23,9,1,1.05,0.95
65,24,8,1,1.05,0.95
66,25,8,1,1.05,0.95
67,25,6,1,1.05,0.95
68,27,6,1,1.05,0.95
69,28,6,1,1.05,0.95
70,29,6,1,1.05,0.95
71,30,6,1,1.05,0.95
72,31,6,1,1.05,0.95
73,31,5,1,1.05,0.95
74,31,4,1,1.05,0.95
75,31,3,1,1.05,0.95
76,31,2,1,1.05,0.95
77,29,0,1,1.05,0.95
78,28,0,1,1.05,0.95
79,27,0,1,1.05,0.95
80,26,0,1,1.05,0.95
81,25,0,1,1.05,0.95
82,24,0,1,1.05,0.95
83,23,0,1,1.05,0.95
84,23,2,1,1.05,0.95
85,22,0,1,1.05,0.95
86,17,0,1,1.05,0.95
87,16,1,1,1.05,0.95
88,16,2,1,1.05,0.95
89,17,1,1,1.05,0.95
90,17,2,1,1.05,0.95
91,17,-1,1,1.05,0.95
92,15,0,1,1.05,0.95
93,14,0,1,1.05,0.95
94,13,0,1,1.05,0.95
95,12,0,1,1.05,0.95
96,11,0,1,1.05,0.95
97,22,1,1,1.05,0.95
98,22,2,1,1.05,0.95
99,22,3,1,1.05,0.95
100,24,2,1,1.05,0.95
101,24,3,1,1.05,0.95
102,29,2,1,1.05,0.95
103,28,2,1,1.05,0.95
104,27,2,1,1.05,0.95
105,26,2,1,1.05,0.95
106,30,8,1,1.05,0.95
107,31,7,1,1.05,0.95
108,31,8,1,1.05,0.95
109,15,5,1,1.05,0.95
110,15,4,1,1.05,0.95
111,15,3,1,1.05,0.95
112,16,8,1,1.05,0.95
113,16,9,1,1.05,0.95
114,16,7,1,1.05,0.95
115,15,9,1,1.05,0.95
116,20,5,1,1.05,0.95
117,28,9,1,1.05,0.95
118,15,10,1,1.05,0.95
119,20,4,1,1.05,0.95
120,18,4,1,1.05,0.95
121,22,4,1,1.05,0.95
122,20,3,1,1.05,0.95
123,20,2,1,1.05,0.95
124,19,5,1,1.05,0.95
