index,type,R_ohm_per_km,X_ohm_per_km,Cd_nF_per_km,Imax_A
1,BLX 50,0.360000014,0.297470599,11.74587935,245
2,Cu 16,1.126999974,0.333341211,10.47949777,115
3,FeAl 25,0.723999977,0.333698779,10.46825149,235
4,FeAl 35,0.514500022,0.32298401,10.81609632,287
5,EXCEL 3x10 Cu,1.830000043,0.119000003,100.6426856,81
6,TSWP 1x3x25 Al,1.200000048,0.150000006,190.0000045,115
7,TXSP 1x3x95 Cu,0.193000004,0.119999997,199.9999965,312
8,TXSP 3x1x95 Al,0.319999993,0.200000003,199.9999965,295
9,TXSE 3x1x25 Al,1.200000048,0.230000004,139.9999963,145
10,TXSE 3x1x50 Al,0.640999973,0.209999993,160.0000045,200
11,TXSE 3x1x95 Al,0.319999993,0.200000003,199.9999965,295
12,TXSE 3x1x150 Al,0.206,0.189999998,229.9999965,370
13,TXSE 3x1x240 Al,0.125,0.180000007,300.0000008,465
14,TXSE 1x3x25 Al,1.200000048,0.150000006,139.9999963,115
15,TXSE 1x3x50 Al,0.640999973,0.140000001,160.0000045,170
16,TXSE 1x3x95 Al,0.319999993,0.119999997,199.9999965,240
17,TXSE 1x3x150 Al,0.206,0.119999997,229.9999965,310
18,TXSE 1x3x240 Al,0.125,0.109999999,279.9999926,400
19,TSLE 3x1x150 Al,0.206,0.189999998,229.9999965,370
20,TSLE 1x3x95 Al,0.319999993,0.119999997,199.9999965,240
21,TSLF 3x1x95 Aq,0.319999993,0.200000003,199.9999965,295
22,TSLF 3x1x240 Aq,0.125,0.180000007,279.9999926,465
23,FXCEL 1x3x16 Cu,1.149999976,0.312000006,229.1831181,85
24,fictitious line,0.100000002,0.100000002,0.0,999
