index,p_mw,q_mvar
2,0.102573285,0.033712762
6,0.312282822,0.102637995
8,0.070066843,0.023028869
10,0.077479408,0.025465157
11,0.054436733,0.017891721
13,0.069716613,0.022913759
14,0.044766026,0.01471325
15,0.034603003,0.011372969
17,0.083955294,0.027593586
18,0.059472768,0.019546915
20,0.098526154,0.032382591
21,0.016413906,0.005394758
25,0.014601533,0.004799086
28,0.067753353,0.022268495
31,0.116475606,0.038282037
32,0.232441763,0.076396634
34,0.104628467,0.034388238
39,0.058684029,0.01928768
40,0.057927814,0.019039135
41,0.027772815,0.009128091
44,0.031022705,0.010196233
46,0.291088254,0.095671976
47,0.135757959,0.044619568
49,0.359524213,0.118164823
51,0.074594722,0.024517047
55,0.315686649,0.103756731
64,0.147713084,0.048548859
66,0.032251718,0.010600172
67,0.025001712,0.008217313
68,0.00873254,0.002870124
69,0.019565074,0.006430453
70,0.085248477,0.028018617
73,0.455683423,0.149769471
80,0.021937664,0.007210252
84,0.026927092,0.008850127
90,0.043781881,0.014389791
91,0.153539557,0.050463846
92,0.073773438,0.024247116
96,0.183788623,0.060405807
99,0.082191692,0.027013943
101,0.186032156,0.061143189
103,0.29551181,0.097125867
105,0.296369037,0.097407611
106,0.202089304,0.066420691
108,0.111655223,0.036697722
109,0.046128009,0.015160893
111,0.276548514,0.0908932
113,0.00078442,0.000257815
114,0.077797225,0.025569614
117,0.121147488,0.039817545
118,0.035388698,0.011631203
120,0.263253107,0.086523399
121,0.068540778,0.022527298
124,0.153542804,0.050464913
