index,o,d,demand
1,1,2,63.802849
2,1,3,471.81948
3,1,7,918.488499
4,1,21,28.772957
5,1,22,31.681824
6,1,29,29.681628
7,1,30,8.606275
8,1,31,8.606275
9,1,32,8.606275
10,1,33,8.606275
11,1,36,11.722161
12,1,37,20.428002
13,1,38,20.428002
14,1,39,20.428002
15,1,40,20.428002
16,1,42,23.394305
17,1,48,14.575279
18,1,49,8.505481
19,1,50,9.077854
20,1,51,9.077854
21,1,52,4.484028
22,1,53,4.452338
23,1,54,1.875118
24,1,59,2.02354
25,1,60,2.02354
26,1,61,1.880171
27,1,62,1.93676
28,1,63,1.93676
29,1,64,1.93676
30,1,65,1.93676
31,1,66,1.93676
32,1,67,1.948398
33,1,69,1.965538
34,2,1,44.610847
35,2,3,118.65221
36,2,6,381.411877
37,2,10,167.195351
38,2,13,104.283571
39,2,14,104.283571
40,2,16,90.951624
41,2,17,90.951624
42,2,18,90.951624
43,3,1,67.639683
44,3,2,72.07049
45,3,12,134.776233
46,6,1,56.935997
47,6,2,320.643351
48,6,3,329.230351
49,6,10,957.700233
50,6,13,136.941407
51,6,14,136.941407
52,6,16,181.417875
53,6,17,181.417875
54,6,18,181.417875
55,6,21,54.322955
56,6,22,64.777032
57,6,29,60.697739
58,6,37,30.94704
59,6,38,30.94704
60,6,39,30.94704
61,6,40,30.94704
62,6,42,32.851189
63,6,48,20.758405
64,6,49,10.05071
65,6,50,11.007453
66,6,51,11.007453
67,6,52,4.830574
68,6,53,4.854254
69,7,1,724.768919
70,10,1,4.448323
71,10,2,465.677208
72,10,3,4.605681
73,10,6,190.63577
74,10,13,4.525612
75,10,14,4.525612
76,10,22,21.565511
77,10,29,20.731984
78,10,37,15.86574
79,10,38,15.86574
80,10,39,15.86574
81,10,40,15.86574
82,10,42,17.17806
83,10,48,12.195396
84,10,49,7.651356
85,10,50,8.154251
86,10,51,8.154251
87,10,52,4.284714
88,10,53,4.26372
89,12,1,35.255907
90,12,3,123.040888
91,12,55,146.285293
92,12,56,146.285293
93,13,3,86.78809
94,13,20,29.539054
95,13,21,46.76841
96,13,22,51.400936
97,13,29,54.525265
98,13,30,10.879468
99,13,31,10.879468
100,13,32,10.879468
101,13,33,10.879468
102,13,37,30.048272
103,13,38,30.048272
104,13,39,30.048272
105,13,40,30.048272
106,13,42,32.076354
107,13,48,18.612489
108,13,49,9.839607
109,13,50,10.662938
110,13,51,10.662938
111,13,52,4.778146
112,13,53,4.783582
113,13,54,1.950833
114,13,59,2.034743
115,13,60,2.034743
116,13,61,2.019167
117,13,62,2.007117
118,13,63,2.007117
119,13,64,2.007117
120,13,65,2.007117
121,13,66,2.007117
122,13,67,2.01248
123,13,69,9.568677
124,14,3,86.78809
125,14,20,29.539054
126,14,21,46.76841
127,14,22,51.400936
128,14,29,54.525265
129,14,30,10.879468
130,14,31,10.879468
131,14,32,10.879468
132,14,33,10.879468
133,14,37,30.048272
134,14,38,30.048272
135,14,39,30.048272
136,14,40,30.048272
137,14,42,32.076354
138,14,48,18.612489
139,14,49,9.839607
140,14,50,10.662938
141,14,51,10.662938
142,14,52,4.778146
143,14,53,4.783582
144,14,54,1.950833
145,14,59,2.034743
146,14,60,2.034743
147,14,61,2.019167
148,14,62,2.007117
149,14,63,2.007117
150,14,64,2.007117
151,14,65,2.007117
152,14,66,2.007117
153,14,67,2.01248
154,14,69,9.568677
155,16,10,260.414981
156,16,20,62.737552
157,16,21,688.877784
158,17,10,260.414981
159,17,20,62.737552
160,17,21,688.877784
161,18,10,260.414981
162,18,20,62.737552
163,18,21,688.877784
164,20,1,3.252073
165,20,3,3.391481
166,20,6,21.933356
167,20,13,18.287751
168,20,14,18.287751
169,20,16,33.115467
170,20,17,33.115467
171,20,18,33.115467
172,20,21,45.27844
173,20,22,35.129881
174,20,29,33.350341
175,20,37,22.259766
176,20,38,22.259766
177,20,39,22.259766
178,20,40,22.259766
179,20,48,15.777547
180,20,49,8.825479
181,20,50,9.573856
182,20,51,9.573856
183,20,52,4.553094
184,20,53,4.532077
185,20,54,6.749569
186,20,59,8.792995
187,20,60,8.792995
188,20,61,7.339336
189,20,62,7.642929
190,20,63,7.642929
191,20,64,7.642929
192,20,65,7.642929
193,20,66,7.642929
194,20,67,7.803461
195,20,69,8.319704
196,21,1,0.600509
197,21,2,69.588982
198,21,3,34.152265
199,21,6,90.624224
200,21,10,82.94767
201,21,13,31.164585
202,21,14,31.164585
203,21,16,130.672428
204,21,17,130.672428
205,21,18,130.672428
206,21,20,69.508539
207,21,22,165.778825
208,21,29,127.215304
209,21,30,343.118218
210,21,31,343.118218
211,21,32,343.118218
212,21,33,343.118218
213,21,37,43.112684
214,21,38,43.112684
215,21,39,43.112684
216,21,40,43.112684
217,21,48,25.087764
218,21,49,11.060213
219,21,50,12.263162
220,21,51,12.263162
221,21,52,5.013749
222,21,53,5.135306
223,21,54,2.470772
224,21,59,2.681068
225,21,60,2.681068
226,21,61,2.552272
227,21,62,2.594958
228,21,63,2.594958
229,21,64,2.594958
230,21,65,2.594958
231,21,66,2.594958
232,21,67,2.604952
233,21,69,113.704639
234,22,1,0.600056
235,22,2,44.509766
236,22,3,43.44791
237,22,6,203.084968
238,22,10,212.162678
239,22,13,38.866391
240,22,14,38.866391
241,22,20,56.677571
242,22,21,366.769954
243,22,29,689.866708
244,22,30,18.184193
245,22,31,18.184193
246,22,32,18.184193
247,22,33,18.184193
248,22,37,59.84674
249,22,38,59.84674
250,22,39,59.84674
251,22,40,59.84674
252,22,42,173.300132
253,22,48,33.526332
254,22,49,11.874589
255,22,50,13.242918
256,22,51,13.242918
257,22,52,5.197101
258,22,53,5.198821
259,22,54,2.031226
260,22,59,2.129852
261,22,60,2.129852
262,22,61,2.10535
263,22,62,2.091389
264,22,63,2.091389
265,22,64,2.091389
266,22,65,2.091389
267,22,66,2.091389
268,22,67,2.100453
269,22,69,13.610696
270,23,42,204.469722
271,23,48,108.105939
272,23,52,271.588602
273,23,53,208.158371
274,23,54,27.61604
275,23,57,84.474335
276,23,59,142.622365
277,23,60,142.622365
278,23,61,49.334142
279,23,62,42.32433
280,23,63,42.32433
281,23,64,42.32433
282,23,65,42.32433
283,23,66,42.32433
284,23,67,55.673431
285,24,42,204.469722
286,24,48,108.105939
287,24,52,271.588602
288,24,53,208.158371
289,24,54,27.61604
290,24,57,84.474335
291,24,59,142.622365
292,24,60,142.622365
293,24,61,49.334142
294,24,62,42.32433
295,24,63,42.32433
296,24,64,42.32433
297,24,65,42.32433
298,24,66,42.32433
299,24,67,55.673431
300,25,42,204.469722
301,25,48,108.105939
302,25,52,271.588602
303,25,53,208.158371
304,25,54,27.61604
305,25,57,84.474335
306,25,59,142.622365
307,25,60,142.622365
308,25,61,49.334142
309,25,62,42.32433
310,25,63,42.32433
311,25,64,42.32433
312,25,65,42.32433
313,25,66,42.32433
314,25,67,55.673431
315,26,42,204.469722
316,26,48,108.105939
317,26,52,271.588602
318,26,53,208.158371
319,26,54,27.61604
320,26,57,84.474335
321,26,59,142.622365
322,26,60,142.622365
323,26,61,49.334142
324,26,62,42.32433
325,26,63,42.32433
326,26,64,42.32433
327,26,65,42.32433
328,26,66,42.32433
329,26,67,55.673431
330,29,1,0.593797
331,29,2,16.349612
332,29,3,16.226002
333,29,6,22.998423
334,29,10,23.463504
335,29,13,15.247569
336,29,14,15.247569
337,29,20,18.701883
338,29,21,23.837413
339,29,22,26.127718
340,29,30,8.29172
341,29,31,8.29172
342,29,32,8.29172
343,29,33,8.29172
344,29,37,65.639699
345,29,38,65.639699
346,29,39,65.639699
347,29,40,65.639699
348,29,49,12.129825
349,29,50,13.404984
350,29,51,13.404984
351,29,59,2.006949
352,29,60,2.006949
353,29,61,1.932233
354,29,62,1.949547
355,29,63,1.949547
356,29,64,1.949547
357,29,65,1.949547
358,29,66,1.949547
359,29,67,1.959887
360,29,69,7.654282
361,30,23,658.05059
362,30,24,658.05059
363,30,25,658.05059
364,30,26,658.05059
365,30,35,188.593258
366,30,36,127.05706
367,30,43,74.977687
368,30,44,74.977687
369,30,45,74.977687
370,30,46,74.977687
371,30,54,10.748869
372,30,57,15.833958
373,30,58,18.989162
374,30,59,15.424837
375,30,60,15.424837
376,30,61,12.182856
377,30,62,12.688184
378,30,63,12.688184
379,30,64,12.688184
380,30,65,12.688184
381,30,66,12.688184
382,30,67,13.570124
383,30,69,14.559331
384,31,23,658.05059
385,31,24,658.05059
386,31,25,658.05059
387,31,26,658.05059
388,31,35,188.593258
389,31,36,127.05706
390,31,43,74.977687
391,31,44,74.977687
392,31,45,74.977687
393,31,46,74.977687
394,31,54,10.748869
395,31,57,15.833958
396,31,58,18.989162
397,31,59,15.424837
398,31,60,15.424837
399,31,61,12.182856
400,31,62,12.688184
401,31,63,12.688184
402,31,64,12.688184
403,31,65,12.688184
404,31,66,12.688184
405,31,67,13.570124
406,31,69,14.559331
407,32,23,658.05059
408,32,24,658.05059
409,32,25,658.05059
410,32,26,658.05059
411,32,35,188.593258
412,32,36,127.05706
413,32,43,74.977687
414,32,44,74.977687
415,32,45,74.977687
416,32,46,74.977687
417,32,54,10.748869
418,32,57,15.833958
419,32,58,18.989162
420,32,59,15.424837
421,32,60,15.424837
422,32,61,12.182856
423,32,62,12.688184
424,32,63,12.688184
425,32,64,12.688184
426,32,65,12.688184
427,32,66,12.688184
428,32,67,13.570124
429,32,69,14.559331
430,33,23,658.05059
431,33,24,658.05059
432,33,25,658.05059
433,33,26,658.05059
434,33,35,188.593258
435,33,36,127.05706
436,33,43,74.977687
437,33,44,74.977687
438,33,45,74.977687
439,33,46,74.977687
440,33,54,10.748869
441,33,57,15.833958
442,33,58,18.989162
443,33,59,15.424837
444,33,60,15.424837
445,33,61,12.182856
446,33,62,12.688184
447,33,63,12.688184
448,33,64,12.688184
449,33,65,12.688184
450,33,66,12.688184
451,33,67,13.570124
452,33,69,14.559331
453,35,20,101.145694
454,35,30,181.020679
455,35,31,181.020679
456,35,32,181.020679
457,35,33,181.020679
458,35,36,383.046581
459,35,42,107.989628
460,35,43,121.2551
461,35,44,121.2551
462,35,45,121.2551
463,35,46,121.2551
464,35,57,8.221421
465,35,58,9.727774
466,35,59,8.500181
467,35,60,8.500181
468,35,61,7.353849
469,35,62,7.295317
470,35,63,7.295317
471,35,64,7.295317
472,35,65,7.295317
473,35,66,7.295317
474,36,1,76.614241
475,36,2,13.09929
476,36,3,12.974707
477,36,12,14.326261
478,36,20,7.846065
479,36,30,8.114739
480,36,31,8.114739
481,36,32,8.114739
482,36,33,8.114739
483,36,35,8.45922
484,36,42,127.932872
485,36,43,162.812439
486,36,44,162.812439
487,36,45,162.812439
488,36,46,162.812439
489,37,1,0.590858
490,37,2,15.837108
491,37,3,15.662349
492,37,6,21.83349
493,37,10,22.518272
494,37,13,14.567283
495,37,14,14.567283
496,37,22,24.745023
497,37,29,498.945235
498,37,35,6.96326
499,37,36,46.213419
500,37,42,146.899241
501,37,54,104.125219
502,37,57,5.217101
503,37,59,5.028408
504,37,60,5.028408
505,37,61,4.613064
506,37,62,4.787765
507,37,63,4.787765
508,37,64,4.787765
509,37,65,4.787765
510,37,66,4.787765
511,37,67,4.906394
512,38,1,0.590858
513,38,2,15.837108
514,38,3,15.662349
515,38,6,21.83349
516,38,10,22.518272
517,38,13,14.567283
518,38,14,14.567283
519,38,22,24.745023
520,38,29,498.945235
521,38,35,6.96326
522,38,36,46.213419
523,38,42,146.899241
524,38,54,104.125219
525,38,57,5.217101
526,38,59,5.028408
527,38,60,5.028408
528,38,61,4.613064
529,38,62,4.787765
530,38,63,4.787765
531,38,64,4.787765
532,38,65,4.787765
533,38,66,4.787765
534,38,67,4.906394
535,39,1,0.590858
536,39,2,15.837108
537,39,3,15.662349
538,39,6,21.83349
539,39,10,22.518272
540,39,13,14.567283
541,39,14,14.567283
542,39,22,24.745023
543,39,29,498.945235
544,39,35,6.96326
545,39,36,46.213419
546,39,42,146.899241
547,39,54,104.125219
548,39,57,5.217101
549,39,59,5.028408
550,39,60,5.028408
551,39,61,4.613064
552,39,62,4.787765
553,39,63,4.787765
554,39,64,4.787765
555,39,65,4.787765
556,39,66,4.787765
557,39,67,4.906394
558,40,1,0.590858
559,40,2,15.837108
560,40,3,15.662349
561,40,6,21.83349
562,40,10,22.518272
563,40,13,14.567283
564,40,14,14.567283
565,40,22,24.745023
566,40,29,498.945235
567,40,35,6.96326
568,40,36,46.213419
569,40,42,146.899241
570,40,54,104.125219
571,40,57,5.217101
572,40,59,5.028408
573,40,60,5.028408
574,40,61,4.613064
575,40,62,4.787765
576,40,63,4.787765
577,40,64,4.787765
578,40,65,4.787765
579,40,66,4.787765
580,40,67,4.906394
581,42,1,0.496327
582,42,2,2.416144
583,42,3,2.412158
584,42,6,2.428495
585,42,13,2.373871
586,42,14,2.373871
587,42,22,2.437443
588,42,23,275.055078
589,42,24,275.055078
590,42,25,275.055078
591,42,26,275.055078
592,42,35,7.339751
593,42,36,69.17995
594,42,48,295.103713
595,42,53,20.649333
596,42,54,347.505229
597,43,30,7.423145
598,43,31,7.423145
599,43,32,7.423145
600,43,33,7.423145
601,43,35,7.772933
602,43,36,85.28845
603,43,48,495.813688
604,44,30,7.423145
605,44,31,7.423145
606,44,32,7.423145
607,44,33,7.423145
608,44,35,7.772933
609,44,36,85.28845
610,44,48,495.813688
611,45,30,7.423145
612,45,31,7.423145
613,45,32,7.423145
614,45,33,7.423145
615,45,35,7.772933
616,45,36,85.28845
617,45,48,495.813688
618,46,30,7.423145
619,46,31,7.423145
620,46,32,7.423145
621,46,33,7.423145
622,46,35,7.772933
623,46,36,85.28845
624,46,48,495.813688
625,48,1,0.544804
626,48,2,4.766722
627,48,3,4.742102
628,48,6,5.201306
629,48,10,5.264023
630,48,13,4.697908
631,48,14,4.697908
632,48,20,4.837528
633,48,21,5.288314
634,48,22,5.401379
635,48,23,103.15795
636,48,24,103.15795
637,48,25,103.15795
638,48,26,103.15795
639,48,42,149.787104
640,48,49,38.749915
641,48,50,60.560394
642,48,51,60.560394
643,48,52,6.464663
644,48,53,6.447164
645,48,54,465.407703
646,49,1,0.571588
647,49,2,7.606273
648,49,3,7.583014
649,49,6,8.7594
650,49,10,8.940253
651,49,13,7.340665
652,49,14,7.340665
653,49,20,7.855097
654,49,21,8.940739
655,49,22,9.258434
656,49,29,14.551527
657,49,48,34.795661
658,49,50,55.381488
659,49,51,55.381488
660,49,52,5.497575
661,49,53,5.458531
662,49,54,32.645398
663,50,1,0.579193
664,50,2,9.282696
665,50,3,9.27495
666,50,6,11.092619
667,50,10,11.349321
668,50,13,8.88281
669,50,14,8.88281
670,50,20,9.683341
671,50,21,11.333564
672,50,22,11.832665
673,50,29,22.049089
674,50,48,225.872637
675,50,49,11.520449
676,50,52,388.124058
677,50,53,69.876441
678,50,54,31.992984
679,50,57,121.442833
680,51,1,0.579193
681,51,2,9.282696
682,51,3,9.27495
683,51,6,11.092619
684,51,10,11.349321
685,51,13,8.88281
686,51,14,8.88281
687,51,20,9.683341
688,51,21,11.333564
689,51,22,11.832665
690,51,29,22.049089
691,51,48,225.872637
692,51,49,11.520449
693,51,52,388.124058
694,51,53,69.876441
695,51,54,31.992984
696,51,57,121.442833
697,52,1,0.544491
698,52,2,4.633824
699,52,3,4.613355
700,52,6,5.058002
701,52,10,5.102921
702,52,13,4.553321
703,52,14,4.553321
704,52,20,4.692664
705,52,21,5.19048
706,52,22,5.196287
707,52,30,5.700315
708,52,31,5.700315
709,52,32,5.700315
710,52,33,5.700315
711,52,35,5.900486
712,52,36,19.065057
713,52,48,181.068397
714,52,49,31.554972
715,52,50,88.038327
716,52,51,88.038327
717,52,53,84.28561
718,52,54,34.681336
719,53,1,0.546041
720,53,2,4.662076
721,53,3,4.645671
722,53,6,5.052007
723,53,10,5.109795
724,53,13,4.560125
725,53,14,4.560125
726,53,20,4.710273
727,53,21,5.093015
728,53,22,5.207074
729,53,30,6.125598
730,53,31,6.125598
731,53,32,6.125598
732,53,33,6.125598
733,53,35,6.348829
734,53,36,24.483848
735,53,42,15.686674
736,53,43,33.906862
737,53,44,33.906862
738,53,45,33.906862
739,53,46,33.906862
740,53,48,168.926402
741,53,49,31.400682
742,53,50,63.973167
743,53,51,63.973167
744,53,52,234.005453
745,53,54,56.171572
746,54,1,0.529152
747,54,3,1.904684
748,54,6,3.592571
749,54,13,4.757789
750,54,14,4.757789
751,54,20,4.932186
752,54,21,0.959323
753,54,22,5.467891
754,54,23,9.224858
755,54,24,9.224858
756,54,25,9.224858
757,54,26,9.224858
758,54,30,9.646155
759,54,31,9.646155
760,54,32,9.646155
761,54,33,9.646155
762,54,36,41.941758
763,54,42,21.310982
764,54,43,80.459532
765,54,44,80.459532
766,54,45,80.459532
767,54,46,80.459532
768,54,48,187.877796
769,54,49,32.255685
770,54,50,16.518454
771,54,51,16.518454
772,54,52,19.659907
773,54,53,21.569117
774,54,57,9.348803
775,54,58,10.843154
776,54,59,10.099291
777,54,60,10.099291
778,54,61,8.493613
779,54,62,8.54667
780,54,63,8.54667
781,54,64,8.54667
782,54,65,8.54667
783,54,66,8.54667
784,54,67,42.247234
785,54,69,562.289671
786,55,12,136.826753
787,56,12,136.826753
788,57,23,27.201724
789,57,24,27.201724
790,57,25,27.201724
791,57,26,27.201724
792,57,30,31.207997
793,57,31,31.207997
794,57,32,31.207997
795,57,33,31.207997
796,57,35,9.65516
797,57,50,157.185283
798,57,51,157.185283
799,57,54,16.79222
800,57,59,34.470231
801,57,60,34.470231
802,57,61,23.341177
803,57,62,21.093195
804,57,63,21.093195
805,57,64,21.093195
806,57,65,21.093195
807,57,66,21.093195
808,57,67,24.06731
809,57,69,29.464662
810,58,1,3.121589
811,58,3,3.198683
812,58,6,10.860629
813,58,13,14.842005
814,58,14,14.842005
815,58,16,23.688343
816,58,17,23.688343
817,58,18,23.688343
818,58,20,85.600503
819,58,21,29.697176
820,58,22,24.790304
821,58,29,23.706615
822,58,30,24.997455
823,58,31,24.997455
824,58,32,24.997455
825,58,33,24.997455
826,58,35,8.85386
827,58,37,17.462714
828,58,38,17.462714
829,58,39,17.462714
830,58,40,17.462714
